gid,nom_barrio,esquina,calle,calle2,suj-column,nro_artef,sem-artef,sem-arte_2,sem-arte_3,sem-arte_4,sem-arte_5,sem-arte_6,artef_camb,viscera,lampcambio,led,tipo led,suj-soport,de-cargado,de-bateria,de-cabl al,de_cam s_n,c-estado,lng,lat
24,NULL,24,AV. 3 DE ABRIL,BUENOS AIRES,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.84122235673239,-27.475005600636777
25,NULL,25,AV. 3 DE ABRIL,BUENOS AIRES,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.841201187021014,-27.474874126177998
26,NULL,26,AV. 3 DE ABRIL,SALTA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8396822578247,-27.475505671390586
27,NULL,27,AV. 3 DE ABRIL,SALTA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.839557885581286,-27.47552445333386
28,NULL,28,AV. 3 DE ABRIL,SALTA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83953406965094,-27.47539767499054
29,NULL,29,AV. 3 DE ABRIL,SALTA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83976429065598,-27.475179334219956
30,NULL,30,AV. 3 DE ABRIL,SALTA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83971136632817,-27.475057250985348
31,NULL,31,AV. 3 DE ABRIL,LA RIOJA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.838930434667155,-27.47561784289294
32,NULL,32,AV. 3 DE ABRIL,LA RIOJA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83886722273278,-27.475482193772574
33,NULL,33,AV. 3 DE ABRIL,LA RIOJA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83910273617295,-27.475266200921663
34,NULL,34,AV. 3 DE ABRIL,LA RIOJA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83892808581903,-27.475165247542055
35,NULL,35,AV. 3 DE ABRIL,SAN JUAN,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83758909944269,-27.47577096597871
36,NULL,36,AV. 3 DE ABRIL,SAN JUAN,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.837374755842895,-27.475578451056066
37,NULL,37,AV. 3 DE ABRIL,SAN JUAN,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83762879276369,-27.475547930421424
38,NULL,38,AV. 3 DE ABRIL,SAN JUAN,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83756792980644,-27.475324894393577
39,NULL,39,AV. 3 DE ABRIL,MENDOZA,"con pescante 5,5m.",3,1*300+2*200,3*200,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.83636390054491,-27.475911830080538
40,NULL,40,AV. 3 DE ABRIL,MENDOZA,"con pescante 5,5m.",3,3*200,3*300,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83633214595708,-27.475801486360982
41,NULL,41,AV. 3 DE ABRIL,MENDOZA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83632685354324,-27.475709924471296
42,NULL,42,AV. 3 DE ABRIL,MENDOZA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.836549135870605,-27.475592537365397
43,NULL,43,AV. 3 DE ABRIL,MENDOZA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83649091910652,-27.47547280233437
44,NULL,44,AV. 3 DE ABRIL,CORDOBA,"con pescante 5,5m.",4,1*300+2*200,3*200,"3*200
","1*300+2*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.83534246042492,-27.476038607633644
45,NULL,45,AV. 3 DE ABRIL,CORDOBA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.83530276718296,-27.475930611776594
46,NULL,46,AV. 3 DE ABRIL,CORDOBA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8354350781242,-27.47572635849261
47,NULL,47,AV. 3 DE ABRIL,CORDOBA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83541920084401,-27.4756136668466
48,NULL,48,AV. 3 DE ABRIL,SAN LORENZO,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.83258774755838,-27.47639780993519
49,NULL,49,AV. 3 DE ABRIL,SAN LORENZO,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8325983324595,-27.476273380333115
50,NULL,50,AV. 3 DE ABRIL,SAN LORENZO,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83272667407393,-27.476069127683786
51,NULL,51,AV. 3 DE ABRIL,SAN LORENZO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83271873544953,-27.475947045443668
52,NULL,52,AV. 3 DE ABRIL,SANTA FE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83149750576764,-27.476552759604733
53,NULL,53,AV. 3 DE ABRIL,SANTA FE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.83136519487856,-27.476538673236202
54,NULL,54,AV. 3 DE ABRIL,SANTA FE,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83128316215102,-27.476430677861302
55,NULL,55,AV. 3 DE ABRIL,SANTA FE,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83150809071554,-27.476232294848547
56,NULL,56,AV. 3 DE ABRIL,SANTA FE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83145384327821,-27.47611256051359
57,NULL,57,AV. 3 DE ABRIL,ESPAÑA,"con pescante 5,5m.",5,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.83005994788115,-27.47672062145213
58,NULL,58,AV. 3 DE ABRIL,ESPAÑA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83001496220588,-27.476602648441638
59,NULL,60,AV. 3 DE ABRIL,ESPAÑA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83003083955822,-27.47641306967448
60,NULL,61,AV. 3 DE ABRIL,ESPAÑA,"con pescante 5,5m.",2,3*300,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83023856766552,-27.47638724471687
61,NULL,61,AV. 3 DE ABRIL,ESPAÑA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8301552118299,-27.47627572759886
62,NULL,62,AV. 3 DE ABRIL,JUJUY,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82870442274506,-27.476900808570882
63,NULL,63,AV. 3 DE ABRIL,JUJUY,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82868060681691,-27.476764640934753
64,NULL,65,AV. 3 DE ABRIL,JUJUY,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8288195333002,-27.47657095395385
65,NULL,65,AV. 3 DE ABRIL,JUJUY,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82880100980495,-27.476446524541778
66,NULL,66,AV. 3 DE ABRIL,JUJUY,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.82865811403663,-27.47646530632117
67,NULL,67,AV. 3 DE ABRIL,PARAGUAY,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82740248352703,-27.477053409779813
68,NULL,68,AV. 3 DE ABRIL,PARAGUAY,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.827366759636476,-27.476842115392937
69,NULL,69,AV. 3 DE ABRIL,PARAGUAY,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82757316463541,-27.47681394281749
