,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,tipo_colision,cantidad_de_involucrados,cono_de_vision,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,barreras_de_seguridad,luminosidad,luz_artificial,estado_ambiental,semaforo,tipo_involucrado
22,182664,2023-12-16,07:50:00,Urbana,Calle,LA RIOJA,700,25 DE mayo,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Rozamiento,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Motocicleta
23,207684,2023-12-16,07:30:00,Urbana,Avenida,AV ALTA GRACIA,2400,,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Rozamiento,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Automóvil
24,207684,2023-12-16,07:30:00,Urbana,Avenida,AV ALTA GRACIA,2400,,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Rozamiento,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
25,211678,2023-12-15,22:15:00,Urbana,Calle,AV INDEPENDENCIA,5000,,-4.000.000,-6.100.000,0.0,1.0,0.0,1.0,0.0,Caída desde vehículo,,1,,Asfalto,Apto,Seca,Asfalto,Noche,,Despejado,Funciona,Motocicleta
26,176163,2023-12-13,10:00:00,Urbana,Ruta Nacional,12,,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Transporte de pasajeros
27,176163,2023-12-13,10:00:00,Urbana,Ruta Nacional,12,,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
28,186781,2023-12-11,12:19:00,Urbana,Calle,AV CHACABUCO,1500,SUIZA,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Nublado,S/D,Automóvil
29,186781,2023-12-11,12:19:00,Urbana,Calle,AV CHACABUCO,1500,SUIZA,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Nublado,S/D,Motocicleta
30,205605,2023-12-11,17:15:00,Urbana,Calle,ROCA,1000,,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
31,205605,2023-12-11,17:15:00,Urbana,Calle,ROCA,1000,,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
