,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
485,49297,2019-08-14,09:00:00,Urbana,Calle,San Juan,1100,RIVADAVIA,-2.747.434,-5.883.744,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
486,49297,2019-08-14,09:00:00,Urbana,Calle,San Juan,1100,RIVADAVIA,-2.747.434,-5.883.744,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
487,49497,2019-08-14,12:40:00,Urbana,Avenida,AV PUJOL,800,VELEZ SARSFIELD,-2.746.847,-5.882.012,0,1,0,1,0,Despiste,1,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
488,64875,2019-08-13,23:30:00,Urbana,Calle,SICILIA,100,MADRID,-2.745.794,-5.878.643,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Automóvil
489,64875,2019-08-13,23:30:00,Urbana,Calle,SICILIA,100,MADRID,-2.745.794,-5.878.643,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Motocicleta
490,54970,2019-08-13,12:10:00,Urbana,Avenida,AVENIDA INDEPENDENCIA,4400,MEDRANO,-2.748.174,-5.879.847,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Motocicleta
491,54970,2019-08-13,12:10:00,Urbana,Avenida,AVENIDA INDEPENDENCIA,4400,MEDRANO,-2.748.174,-5.879.847,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Automóvil
492,49490,2019-08-13,18:50:00,Urbana,Avenida,AV MAIPU,2500,,-2.750.064,-5.881.359,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,Automóvil
493,49490,2019-08-13,18:50:00,Urbana,Avenida,AV MAIPU,2500,,-2.750.064,-5.881.359,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,Motocicleta
494,62912,2019-08-12,17:10:00,Urbana,Calle,IV CENTENARIO,3500,TARAGUY,-2.749.546,-5.883.812,1,1,0,1,1,Atropello a peatón/es,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
495,62912,2019-08-12,17:10:00,Urbana,Calle,IV CENTENARIO,3500,TARAGUY,-2.749.546,-5.883.812,1,1,0,1,1,Atropello a peatón/es,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Peatón
496,53864,2019-08-12,08:45:00,Urbana,Avenida,AV 3 DE ABRIL,10,COSTANERA,-2.747.329,-5.885.558,1,2,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Automóvil
497,53864,2019-08-12,08:45:00,Urbana,Avenida,AV 3 DE ABRIL,10,COSTANERA,-2.747.329,-5.885.558,1,2,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Automóvil
498,54499,2019-08-12,20:35:00,Urbana,Avenida,AV ARTIGAS,1100,BOLIVAR,-2.747.269,-5.881.891,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,Automóvil
499,54499,2019-08-12,20:35:00,Urbana,Avenida,AV ARTIGAS,1100,BOLIVAR,-2.747.269,-5.881.891,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,Motocicleta
500,49383,2019-08-12,17:50:00,Urbana,Avenida,2 DE abril,2000,PATAGONIA,-2.749.200,-5.882.794,2,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,,Automóvil
501,49383,2019-08-12,17:50:00,Urbana,Avenida,2 DE abril,2000,PATAGONIA,-2.749.200,-5.882.794,2,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,,Motocicleta
502,53761,2019-08-12,07:00:00,Rural,Ruta Nacional,12,1035,ACCESO AEREOPUERTO,-2.745.185,-5.875.536,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Automóvil
503,53761,2019-08-12,07:00:00,Rural,Ruta Nacional,12,1035,ACCESO AEREOPUERTO,-2.745.185,-5.875.536,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Motocicleta
504,49213,2019-08-12,00:30:00,Urbana,Calle,MORENO,3294,VELEZ  SARFIELD.,-2.747.479,-5.882.091,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Mojada,Noche,,Nublado,Buena,Sin Semáforo,Camioneta/Utilitario
505,49213,2019-08-12,00:30:00,Urbana,Calle,MORENO,3294,VELEZ  SARFIELD.,-2.747.479,-5.882.091,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Mojada,Noche,,Nublado,Buena,Sin Semáforo,Motocicleta
506,53853,2019-08-12,08:26:00,Urbana,Calle,9 DE julio,800,ESPAÑA,-2.746.704,-5.882.910,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Camioneta/Utilitario
507,53853,2019-08-12,08:26:00,Urbana,Calle,9 DE julio,800,ESPAÑA,-2.746.704,-5.882.910,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
508,56772,2019-08-11,06:50:00,Urbana,Avenida,AV R. ALFONSIN,4100,NIÑO JESUS,-2.747.410,-5.880.140,0,1,0,1,0,Caída desde vehículo,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
