,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
135,84415,2020-11-02,09:00:00,Urbana,Avenida,AV MAIPU,2800,LOS MATACOS,-2.750.375,-5.881.218,1,3,0,3,0,Angulo,3,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
136,84415,2020-11-02,09:00:00,Urbana,Avenida,AV MAIPU,2800,LOS MATACOS,-2.750.375,-5.881.218,1,3,0,3,0,Angulo,3,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
137,85539,2020-11-02,08:54:00,Urbana,Avenida,AV INDEPENDENCIA,3600,GUEMEZ,-2.747.930,-5.880.754,2,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Transporte de carga
138,85539,2020-11-02,08:54:00,Urbana,Avenida,AV INDEPENDENCIA,3600,GUEMEZ,-2.747.930,-5.880.754,2,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Transporte de carga
139,71294,2020-10-30,20:05:00,Urbana,Avenida,RUTA 5 KM 2,Km 2,,-2.748.794,-5.876.381,3,0,0,2,0,Angulo,2,,Apto,Seca,,SI,Despejado,Buena,,Motocicleta
140,71294,2020-10-30,20:05:00,Urbana,Avenida,RUTA 5 KM 2,Km 2,,-2.748.794,-5.876.381,3,0,0,2,0,Angulo,2,,Apto,Seca,,SI,Despejado,Buena,,Motocicleta
141,86573,2020-10-30,09:49:00,Urbana,Calle,JUNIN,700,BUENOS AIRES,-2.746.727,-5.884.052,1,1,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
142,86573,2020-10-30,09:49:00,Urbana,Calle,JUNIN,700,BUENOS AIRES,-2.746.727,-5.884.052,1,1,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
143,72171,2020-10-30,08:00:00,Urbana,Ruta Provincial,RUTA 12,Km 1036,KM1036,-2.744.667,-5.874.853,2,0,0,2,0,Angulo,2,Asfalto,Apto,Despejada,Día,NO,Despejado,,Sin Semáforo,Automóvil
144,72171,2020-10-30,08:00:00,Urbana,Ruta Provincial,RUTA 12,Km 1036,KM1036,-2.744.667,-5.874.853,2,0,0,2,0,Angulo,2,Asfalto,Apto,Despejada,Día,NO,Despejado,,Sin Semáforo,Transporte de carga
145,76791,2020-10-29,10:45:00,Urbana,Avenida,AV MAIPU,950,AV C. CORRENTINOS,-2.748.645,-5.882.308,1,1,0,2,0,Alcance,2,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Funciona,Automóvil
146,76791,2020-10-29,10:45:00,Urbana,Avenida,AV MAIPU,950,AV C. CORRENTINOS,-2.748.645,-5.882.308,1,1,0,2,0,Alcance,2,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Funciona,Motocicleta
147,84766,2020-10-29,09:12:00,Urbana,Calle,MEDRANO,1800,NECOCHEA,-2.748.375,-5.879.874,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
148,84766,2020-10-29,09:12:00,Urbana,Calle,MEDRANO,1800,NECOCHEA,-2.748.375,-5.879.874,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Camioneta/Utilitario
149,90015,2020-10-28,10:00:00,Urbana,Avenida,AV ARMENIA,4800,ONTIVERO,-2.746.692,-5.879.079,2,0,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
150,90015,2020-10-28,10:00:00,Urbana,Avenida,AV ARMENIA,4800,ONTIVERO,-2.746.692,-5.879.079,2,0,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
151,86054,2020-10-28,09:05:00,Urbana,Avenida,AV ARMENIA,3800,22 DE mayo,-2.746.866,-5.880.256,2,0,0,2,0,,2,Asfalto,,,Día,,,,Sin Semáforo,Automóvil
152,86054,2020-10-28,09:05:00,Urbana,Avenida,AV ARMENIA,3800,22 DE mayo,-2.746.866,-5.880.256,2,0,0,2,0,,2,Asfalto,,,Día,,,,Sin Semáforo,Motocicleta
153,71573,2020-10-27,03:42:00,Rural,Avenida,Av. Armenia,2934,ESTADOS UNIDOS,-2.746.883,-5.880.166,2,0,0,2,0,Rozamiento,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Funciona,Motocicleta
154,71573,2020-10-27,03:42:00,Rural,Avenida,Av. Armenia,2934,ESTADOS UNIDOS,-2.746.883,-5.880.166,2,0,0,2,0,Rozamiento,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Funciona,Automóvil
155,77085,2020-10-27,08:34:00,Urbana,Avenida,AV GRAL PAZ,2200,GDOR CONTTE,-2.747.970,-5.882.390,2,0,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
156,77085,2020-10-27,08:34:00,Urbana,Avenida,AV GRAL PAZ,2200,GDOR CONTTE,-2.747.970,-5.882.390,2,0,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
157,74751,2020-10-27,12:40:00,Urbana,Avenida,AV FERRE,2100,BRASIL,-2.747.714,-5.882.507,2,0,0,2,0,Alcance,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,,Automóvil
158,74751,2020-10-27,12:40:00,Urbana,Avenida,AV FERRE,2100,BRASIL,-2.747.714,-5.882.507,2,0,0,2,0,Alcance,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,,Automóvil
159,74189,2020-10-27,23:35:00,Urbana,Ruta Nacional,12,1021,FRENTE AL AEROPUERTO,-2.745.192,-5.875.535,1,0,1,2,0,,2,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo,Automóvil
160,74189,2020-10-27,23:35:00,Urbana,Ruta Nacional,12,1021,FRENTE AL AEROPUERTO,-2.745.192,-5.875.535,1,0,1,2,0,,2,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo,Motocicleta
161,71454,2020-10-27,23:15:00,Urbana,Avenida,Av C. Correntinos,4300,Rio Juramento,-2.748.747,-5.880.027,1,1,0,2,0,Angulo,2,Hormigón,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Automóvil
162,71454,2020-10-27,23:15:00,Urbana,Avenida,Av C. Correntinos,4300,Rio Juramento,-2.748.747,-5.880.027,1,1,0,2,0,Angulo,2,Hormigón,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Motocicleta
163,88554,2020-10-26,16:50:00,Urbana,Ruta Provincial,RUTA PROVINCIAL 5,1,,-2.748.608,-5.876.990,2,0,1,2,0,Lateral,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Transporte de carga
164,88554,2020-10-26,16:50:00,Urbana,Ruta Provincial,RUTA PROVINCIAL 5,1,,-2.748.608,-5.876.990,2,0,1,2,0,Lateral,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
