,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
0,148183,2022-12-28,10:17:00,Urbana,,SAN JUAN,640,,,,1.0,2.0,0.0,2,0.0,Colisión entre vehículos,2,Asfalto,Apto,,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
1,148183,2022-12-28,10:17:00,Urbana,,SAN JUAN,640,,,,1.0,2.0,0.0,2,0.0,Colisión entre vehículos,2,Asfalto,Apto,,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
2,142693,2022-12-25,22:00:00,Urbana,Avenida,AV PASANDU,2700,CONCORDIA,,,0.0,0.0,1.0,1,0.0,Despiste,1,Asfalto,Apto,"Despejada, Seca",Noche,SI,Despejado,Buena,Sin Semáforo,Motocicleta
3,151168,2022-12-24,12:50:00,Urbana,Avenida,AV PAYSANDU,3800,IBERA,,,2.0,0.0,0.0,2,0.0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Funciona,Automóvil
4,151168,2022-12-24,12:50:00,Urbana,Avenida,AV PAYSANDU,3800,IBERA,,,2.0,0.0,0.0,2,0.0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Funciona,Motocicleta
5,151207,2022-12-24,17:25:00,Urbana,Avenida,SANTA CATALINA,6000,ALTA GRACIA,-2.750.910,-5.882.218,2.0,1.0,0.0,2,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
6,151207,2022-12-24,17:25:00,Urbana,Avenida,SANTA CATALINA,6000,ALTA GRACIA,-2.750.910,-5.882.218,2.0,1.0,0.0,2,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
7,164602,2022-12-22,18:05:00,Urbana,Calle,TACUARI,3400,,,,0.0,1.0,0.0,1,0.0,Despiste,1,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
8,152105,2022-12-21,18:58:00,Urbana,Ruta Nacional,12,,CUBA,,,3.0,0.0,0.0,3,0.0,Colisión entre vehículos,3,Asfalto,,Seca,Atardecer,SI,Despejado,Buena,Funciona,Automóvil
9,152105,2022-12-21,18:58:00,Urbana,Ruta Nacional,12,,CUBA,,,3.0,0.0,0.0,3,0.0,Colisión entre vehículos,3,Asfalto,,Seca,Atardecer,SI,Despejado,Buena,Funciona,Camioneta/Utilitario
